name,hs,college,race_name,race,gender_name,gender
Denisha,73.7,26.3,Black,0,Female,1
Ebony,71.3,28.7,Black,0,Female,1
Heaven,76.7,23.3,Black,0,Female,1
Janae,49.4,50.6,Black,0,Female,1
Lakisha,100,0,Black,0,Female,1
Latoya,88.3,11.7,Black,0,Female,1
Tamika,84.4,15.6,Black,0,Female,1
Tanisha,75.9,24.1,Black,0,Female,1
Taniya,72.3,27.7,Black,0,Female,1
Tyra,62,38,Black,0,Female,1
DaQuan,87.2,12.8,Black,0,Male,0
DaShawn,85.3,14.7,Black,0,Male,0
DeAndre,68.5,31.5,Black,0,Male,0
Denzel,65.7,34.3,Black,0,Male,0
Jamal,69,31,Black,0,Male,0
Jayvon,75,25,Black,0,Male,0
Keyshawn,76.4,23.6,Black,0,Male,0
Latrell,74.5,25.5,Black,0,Male,0
Tremayne,65.9,34.1,Black,0,Male,0
Tyrone,75.6,24.4,Black,0,Male,0
Alejandra,NA,NA,Hispanic,1,Female,1
Esmeralda,NA,NA,Hispanic,1,Female,1
Florencia,NA,NA,Hispanic,1,Female,1
Guadalupe,NA,NA,Hispanic,1,Female,1
Isabella,NA,NA,Hispanic,1,Female,1
Jimena,NA,NA,Hispanic,1,Female,1
Juanita,NA,NA,Hispanic,1,Female,1
Lucia,NA,NA,Hispanic,1,Female,1
Mariana,NA,NA,Hispanic,1,Female,1
Valeria,NA,NA,Hispanic,1,Female,1
Alejandro,NA,NA,Hispanic,1,Male,0
Esteban,NA,NA,Hispanic,1,Male,0
Felipe,NA,NA,Hispanic,1,Male,0
Fernando,NA,NA,Hispanic,1,Male,0
Juan,NA,NA,Hispanic,1,Male,0
Luis,NA,NA,Hispanic,1,Male,0
Pablo,NA,NA,Hispanic,1,Male,0
Pedro,NA,NA,Hispanic,1,Male,0
Rodrigo,NA,NA,Hispanic,1,Male,0
Santiago,NA,NA,Hispanic,1,Male,0
Abigail,26.2,73.8,White,2,Female,1
Claire,10.8,89.2,White,2,Female,1
Emily,35.7,64.3,White,2,Female,1
Katelyn,38.2,61.8,White,2,Female,1
Kristen,32.8,67.2,White,2,Female,1
Laurie,45.3,54.7,White,2,Female,1
Megan,30.9,69.1,White,2,Female,1
Molly,16.2,83.8,White,2,Female,1
Sarah,34.9,65.1,White,2,Female,1
Stephanie,60.2,39.8,White,2,Female,1
Brett,33.3,66.7,White,2,Male,0
Dustin,66.9,33.1,White,2,Male,0
Hunter,41.4,58.6,White,2,Male,0
Jake,21.8,78.2,White,2,Male,0
Logan,33.1,66.9,White,2,Male,0
Matthew,31.5,68.5,White,2,Male,0
Ryan,30.6,69.4,White,2,Male,0
Seth,40.7,59.3,White,2,Male,0
Todd,53.3,46.7,White,2,Male,0
Zachary,30.7,69.3,White,2,Male,0
