dept_name,dept_email,dept_address_state,lat,lon
Anchorage Police Department,APDCHIEF@ANCHORAGEAK.GOV,AK,61.2182764,-149.896395
Bethel Police Department,police@cityofbethel.net,AK,60.928916,-160.15335
Fairbanks Police Department,fpd@fairbanks.us,AK,64.83945,-147.71942
Juneau Police Department,edmercer@juneaupolice.com,AK,58.356556,-134.50731
Kenai Police Department,911@kenai.city,AK,60.559402,-151.2507
Ketchikan Police Department,jeffreyw@city.ketchikan.ak.us,AK,55.449938,-131.106685
Kodiak Police Department,contactkpd@city.kodiak.ak.us,AK,57.8049,-152.37332
Nome Police Department,publicsafetycommission@nomealaska.org,AK,64.783686,-164.188912
Seward Police Department,anickell@cityofseward.net,AK,60.1031624,-149.4392584
Sitka Police Department,spdadmin@sitkapd.org,AK,57.052124,-135.33418
Wasilla Police Department,wpdadmin@cityofwasilla.gov,AK,62.182174,-149.407974
Alabaster Police Department,crigney@alabasterpolice.org,AL,33.24704,-86.81563
Auburn Police Department,webpubsfty@auburnalabama.org,AL,32.608086,-85.475136
Birmingham Police Department,BPDSuggestions@birminghamal.gov,AL,33.553444,-86.896536
Boaz Police Department,police@cityofboaz.org,AL,34.1956,-86.16411
Center Point Police Department,adw2120@gmail.com,AL,33.643127,-86.683199
Decatur Police Department,tpinion@decatur-al.gov,AL,34.454484,-86.846402
Florence Police Department,rtyler@florenceal.org,AL,34.904122,-87.650997
Foley Police Department,tbullock@foleypolice.org,AL,30.659218,-87.746067
Fort Payne Police Department,ddavis@fortpayne.org,AL,34.440315,-85.72332
Gadsden Police Department,ljaggears@gadsdenpd.org,AL,34.047648,-86.034522
Hartselle Police Department,jbarley@hartselle.org,AL,34.442818,-86.940285
Hoover Police Department,police@hooveralabama.gov,AL,33.38795,-86.80636
Hueytown Police Department,police@hueytownal.com,AL,33.553444,-86.896536
Irondale Police Department,jwiggins@irondalepolice.org,AL,33.538326,-86.70705
Jasper Police Department,ttaylor@jasperpd.us,AL,33.835384,-87.27464
Madison Police Department,johnny.gandy@madisonal.gov,AL,34.6994,-86.74227
Moody Police Department,thunt@moodyalabama.gov,AL,33.712963,-86.315663
