dept_name,state_name,state,has_email_address,searched,population,state_fips,state_population_2020,state_dept_count,contacted_dept_count,pop_served,state_dept_count_7500,contacted_dept_count_7500,per_contacted,per_contacted_7500,per_pop,prop_contacted_bin,prop_contacted_7500_bin,prop_pop_bin,dept_count_bin
East Haddam Police Department,Connecticut,CT,1,1,9007,09,3557006,102,60,2041826,97,60,0.5882352941176471,0.6185567010309279,0.5740293943839285,7-20%,28-45%,11-29%,6-39
Center Point Police Department,Alabama,AL,1,1,15953,01,4921532,347,26,974030,77,26,0.07492795389048991,0.33766233766233766,0.19791195099412137,7-20%,28-45%,11-29%,6-39
Anchorage Police Department,Alaska,AK,1,1,287731,02,731158,38,11,405761,8,7,0.2894736842105263,0.875,0.5549566577948952,7-20%,28-45%,11-29%,6-39
Stuttgart Police Department,Arkansas,AR,1,1,8589,05,3030522,224,28,806202,46,26,0.125,0.5652173913043478,0.2660274368574127,7-20%,28-45%,11-29%,6-39
douglas police department,Arizona,AZ,0,0,15786,04,7421401,83,25,3994889,46,25,0.30120481927710846,0.5434782608695652,0.5382931066519651,7-20%,28-45%,11-29%,6-39
alameda police department,California,CA,0,0,78907,06,39368078,482,111,12256696,397,111,0.23029045643153528,0.2795969773299748,0.31133590011684087,7-20%,28-45%,11-29%,6-39
Aurora Police Department,Colorado,CO,1,1,380600,08,5807719,200,33,2420190,59,29,0.165,0.4915254237288136,0.4167195416995898,7-20%,28-45%,11-29%,6-39
washington metropolitan police department,District of Columbia,DC,0,0,705749,11,712816,1,0,0,1,0,0,0,0,7-20%,28-45%,11-29%,6-39
Dover Police Department,Delaware,DE,1,1,38361,10,986809,45,6,185600,10,6,0.13333333333333333,0.6,0.18808097615648012,7-20%,28-45%,11-29%,6-39
gainesville police department,Florida,FL,0,0,135085,12,21733312,356,90,4293645,177,90,0.25280898876404495,0.5084745762711864,0.1975605466851992,7-20%,28-45%,11-29%,6-39
Milledgeville Police Department,Georgia,GA,1,1,18655,13,10710017,422,42,1299043,108,36,0.0995260663507109,0.3333333333333333,0.12129233781795118,7-20%,28-45%,11-29%,6-39
hawaii (county) police department,Hawaii,HI,0,0,201330,15,1407006,5,0,0,5,0,0,0,0,7-20%,28-45%,11-29%,6-39
cedar falls police department,Iowa,IA,0,0,41269,19,3163561,169,27,697099,51,22,0.15976331360946747,0.43137254901960786,0.2203526342624656,7-20%,28-45%,11-29%,6-39
boise police department,Idaho,ID,0,1,231314,16,1826913,84,19,688342,24,17,0.2261904761904762,0.7083333333333334,0.37677875191648424,7-20%,28-45%,11-29%,6-39
Quincy Police Department,Illinois,IL,1,1,39954,17,12587530,783,138,6334938,267,129,0.17624521072796934,0.4831460674157303,0.5032709356005507,7-20%,28-45%,11-29%,6-39
decatur police,Indiana,IN,0,1,9867,18,6754953,213,51,1312727,92,44,0.23943661971830985,0.4782608695652174,0.19433547502106976,7-20%,28-45%,11-29%,6-39
Atchison Police Department,Kansas,KS,1,1,10509,20,2913805,296,30,1130021,47,27,0.10135135135135136,0.574468085106383,0.3878162745962753,7-20%,28-45%,11-29%,6-39
Lawrenceburg Police Department,Kentucky,KY,1,1,11538,21,4477251,277,22,481697,54,21,0.07942238267148015,0.3888888888888889,0.10758766930868964,7-20%,28-45%,11-29%,6-39
Crowley Police Department,Louisiana,LA,1,1,12621,22,4645318,199,22,896317,46,19,0.11055276381909548,0.4130434782608696,0.19295062254080345,7-20%,28-45%,11-29%,6-39
Barnstable Police Department,Massachusetts,MA,1,1,44032,25,6893574,334,84,3021478,214,84,0.25149700598802394,0.3925233644859813,0.4383035563265151,7-20%,28-45%,11-29%,6-39
Cumberland Police Department,Maryland,MD,1,1,19321,24,6055802,103,23,1152504,32,20,0.2233009708737864,0.625,0.19031401621123015,7-20%,28-45%,11-29%,6-39
auburn police department,Maine,ME,0,0,23214,23,1350141,130,29,444100,41,29,0.2230769230769231,0.7073170731707317,0.3289286081972179,7-20%,28-45%,11-29%,6-39
Alpena Police Department,Michigan,MI,1,1,9901,26,9966555,596,74,3046255,178,68,0.12416107382550336,0.3820224719101123,0.30564773886262603,7-20%,28-45%,11-29%,6-39
Anoka Police Department,Minnesota,MN,1,1,17591,27,5657342,351,51,1802811,120,48,0.1452991452991453,0.4,0.31866749438163716,7-20%,28-45%,11-29%,6-39
Kirksville Police Department,Missouri,MO,1,1,17572,29,6151548,530,44,997119,102,40,0.0830188679245283,0.392156862745098,0.16209237089591108,7-20%,28-45%,11-29%,6-39
